ID,UPC,c__baseSku,brand,c__configurableProduct,c__fuelType,c__ignitionType,c__isDiscontinued,c__isSharedVariationProduct,c__isStepVariationProduct,manufacturerSKU,name__default,c__parentSku,c__productCategory,c__productTypeNonoperative,c__series,c__seriesNumber,c__sku,c__skuLP,c__skuNG,c__style,c__unitSku,c__ventType,variants,variationGroups,productSets
1001-a,879750000000,,Skytech,,,,,,,1001-A,Skytech Systems On-Off Remote | 1001-A |,,Remote Controls,Product,,,1001-A,,,,,,,,
10dbk-12,,,DuraVent,,,,,,,10DBK-12,"DuraVent DuraBlack 10"" Diameter Single Wall Black 12"" Pipe Length | 10DBK-12 |",,Venting Components,Product,DuraBlack,,10DBK-12,,,,,,,,
10dbk-24,,,DuraVent,,,,,,,10DBK-24,"DuraVent DuraBlack 10"" Diameter Single Wall Black 24"" Pipe Length | 10DBK-24 |",,Venting Components,Product,DuraBlack,,10DBK-24,,,,,,,,
10dbk-addb,,,DuraVent,,,,,,,10DBK-ADDB,"DuraVent DuraBlack 10"" Diameter Black Double-Skirted Stovetop Adapter | 10DBK-ADDB |",,Venting Components,Product,DuraBlack,,10DBK-ADDB,,,,,,,,
10dbk-e45,,,DuraVent,,,,,,,10DBK-E45,"DuraVent DuraBlack 10"" Diameter Black 45 Degree Black Elbow | 10DBK-E45 |",,Venting Components,Product,DuraBlack,,10DBK-E45,,,,,,,,
10dbk-e90,,,DuraVent,,,,,,,10DBK-E90,"DuraVent DuraBlack 10"" Diameter Black 90 Degree Black Elbow | 10DBK-E90 |",,Venting Components,Product,DuraBlack,,10DBK-E90,,,,,,,,
10dbk-sc,,,DuraVent,,,,,,,10DBK-SC,"DuraVent DuraBlack 10"" Diameter Black Slip Connector | 10DBK-SC |",,Venting Components,Product,DuraBlack,,10DBK-SC,,,,,,,,
10dbk-t,,,DuraVent,,,,,,,10DBK-T,"DuraVent DuraBlack 10"" Diameter Black Tee w/Clean-Out Cap | 10DBK-T |",,Venting Components,Product,DuraBlack,,10DBK-T,,,,,,,,
10dbk-tc,,,DuraVent,,,,,,,10DBK-TC,"DuraVent DuraBlack 10"" Diameter Black Trim Collar | 10DBK-TC |",,Venting Components,Product,DuraBlack,,10DBK-TC,,,,,,,,
10k81,,,Thurmalox,,,,,,,10K81,Thurmalox Secure Flex 700 Degree Black Millpac High Temp Silicone Tube | 10K81 |,,Tools and Supplies,Product,,,10K81,,,,,,,,
1100cp-1,629169025497,,Napoleon,,Wood,,TRUE,,,1100CP-1,Napoleon Banff Small Cast Iron Wood Stove | 1100 |,,Wood Stoves,Product,Banff,,1100CP-1,,,Traditional,,Vented,,,
1100cp-1-additional-accessories,,,,,,,,,,,Napoleon Banff Small Additional Accessories,,,Variation Master,,,,,,,1100CP-1,,gs200-g,,
1100cp-1-set,,,,,,,,,,,Napoleon Banff Small Set,,,Product Set,,,,,,,,,,,1100cp-1;1100cp-1-additional-accessories
11100008,,,True North,,,,,,TRUE,11100008,True North 3 Inch Outside Air Adapter | 11100008,,Air Kits,Variation Product,,,11100008,,,,,,,,
111kt,,,Napoleon,,,,,TRUE,TRUE,111KT,Napoleon Outside Air Kit | 111KT |,"GVF36-2N,GVF36-2P,GVF42-1N,GVF42-1P,GVFT8N,GVFT8P,NZ3000H-1,NZ5000-T,NZ8000,S20-1,S25,WHVF24N,WHVF24P,WHVF31N,WHVF31P",Venting Components,Variation Product,,,111KT,,,,,,,,
112kt,629169015863,,Napoleon,,,,,TRUE,TRUE,112KT,Napoleon Adapter Plate for Outside Air Kit | 112KT |,"GVF36-2N,GVF36-2P,GVF42-1N,GVF42-1P,GVFT8N,GVFT8P,WHVF24N,WHVF24P,WHVF31N,WHVF31P",Air Kits,Variation Product,,,112KT,,,,,,,,
114kt,629169024063,,Napoleon,,,,,,,114KT,"Napoleon Outside Air Kit - 5 feet with through the wall vent (2"" dia.) | 114KT |",,Air Kits,Product,,,114KT,,,,,,,,
115kt,629169025381,,Napoleon,,,,TRUE,,,115KT,Napoleon Outside Air Kit - 4 Feet Insulated Flexpipe with Through the Wall Vent | 115KT |,,Heat Distribution,Product,,,115KT,,,,,,,,
12-12dm,43593042637,,Superior,,,,,,,12-12DM,"Superior 12"" Section Double Wall Pipe Snap Lock | 12-12DM |",,Venting Components,Product,,,12-12DM,,,,,,,,
